Cód. Cota,Categoria,Crédito,Entrada,Nº Parcelas,Vlr Parcela,Saldo devedor,Fundo comum,Ref. garantia,Administradora,Status
593,Imóvel,"R$111.700,00","R$56.292,50",170,"R$673,00","R$114.410,00","R$0,00","R$0,00",Caixa,Disponível
150,Imóvel,"R$112.500,00","R$43.698,74",147,"R$896,24","R$131.747,28","R$0,00","R$0,00",Magalu,Disponível
121,Imóvel,"R$112.600,00","R$43.115,00",149,"R$899,00","R$133.951,00","R$0,00","R$0,00",HS Consórcios,Disponível
129,Imóvel,"R$112.800,00","R$44.120,00",133,"R$916,00","R$121.828,00","R$0,00","R$0,00",HS Consórcios,Disponível
352,Imóvel,"R$112.850,00","R$48.821,25",84,"R$1.082,00","R$90.888,00","R$0,00","R$0,00",HS Consórcios,Disponível
553,Imóvel,"R$113.000,00","R$50.025,00",175,"R$719,47","R$125.907,25","R$0,00","R$0,00",Bradesco,Disponível
578,Imóvel,"R$113.200,00","R$53.430,00",188,"R$725,31","R$136.358,28","R$0,00","R$0,00",Rodobens,Disponível
583,Imóvel,"R$113.200,00","R$54.430,00",186,"R$718,40","R$133.622,40","R$0,00","R$0,00",Rodobens,Disponível
216,Imóvel,"R$113.200,00","R$45.430,00",172,"R$721,10","R$124.029,20","R$0,00","R$0,00",Bradesco,Disponível
395,Imóvel,"R$114.600,00","R$77.865,00",151,"R$696,00","R$105.096,00","R$0,00","R$0,00",Portobens,Disponível
396,Imóvel,"R$114.900,00","R$81.372,50",84,"R$793,00","R$66.612,00","R$0,00","R$0,00",Portobens,Disponível
88,Imóvel,"R$115.000,00","R$41.675,00",151,"R$936,00","R$141.336,00","R$0,00","R$0,00",Caixa,Disponível
225,Imóvel,"R$115.650,00","R$40.841,25",54,"R$2.190,00","R$118.260,00","R$0,00","R$0,00",HS Consórcios,Disponível
111,Imóvel,"R$117.350,00","R$44.033,75",157,"R$910,00","R$142.870,00","R$0,00","R$0,00",HS Consórcios,Disponível
51,Imóvel,"R$118.000,00","R$44.750,00",167,"R$673,00","R$112.391,00","R$0,00","R$0,00",Caixa,Disponível
524,Imóvel,"R$118.215,89","R$48.162,86",226,"R$653,73","R$147.742,98","R$0,00","R$0,00",Embracon,Disponível
346,Imóvel,"R$118.500,00","R$48.762,50",119,"R$995,00","R$118.405,00","R$0,00","R$0,00",HS Consórcios,Disponível
617,Imóvel,"R$118.512,00","R$41.990,00",234,"R$829,00","R$193.986,00","R$0,00","R$0,00",Embracon,Disponível
389,Imóvel,"R$118.900,00","R$64.872,50",134,"R$845,00","R$113.230,00","R$0,00","R$0,00",Portobens,Disponível
366,Imóvel,"R$119.500,00","R$54.887,50",129,"R$868,50","R$112.036,50","R$0,00","R$0,00",Caixa,Disponível
81,Imóvel,"R$119.800,00","R$47.595,00",174,"R$834,00","R$145.116,00","R$0,00","R$0,00",HS Consórcios,Disponível
115,Imóvel,"R$120.000,00","R$45.000,00",56,"R$2.149,29","R$120.360,24","R$0,00","R$0,00",Rodobens,Disponível
154,Imóvel,"R$120.000,00","R$46.800,00",191,"R$839,00","R$160.249,00","R$0,00","R$0,00",Bradesco,Disponível
415,Imóvel,"R$120.000,00","R$61.000,00",76,"R$1.522,00","R$115.672,00","R$0,00","R$0,00",Portobens,Disponível
416,Imóvel,"R$120.000,00","R$62.000,00",76,"R$1.529,00","R$116.204,00","R$0,00","R$0,00",Portobens,Disponível
